,iata,wiki_title,state_names,num_words_matched,max_state
PVT,DEL,Indira Gandhi International Airport - Wikipedia,"{'Hawaii': 2, 'New York': 3, 'Washington': 3}",0,True
Private,CQM ,Ciudad Real International Airport - Wikipedia,{'New York': 2},0,True
DEN,DEN,Denver International Airport - Wikipedia,"{'Alaska': 12, 'Arizona': 1, 'Arkansas': 4, 'California': 2, 'Colorado': 99, 'Florida': 10, 'Georgia': 1, 'Idaho': 3, 'Illinois': 3, 'Indiana': 15, 'Iowa': 9, 'Kansas': 15, 'Kentucky': 14, 'Minnesota': 1, 'Nebraska': 9, 'Nevada': 1, 'New Mexico': 1, 'New York': 10, 'Oklahoma': 4, 'Oregon': 2, 'Texas': 2, 'Virginia': 6, 'Washington': 43, 'Wyoming': 3}",0,True
Todd's Airport,EWR,Newark Liberty International Airport - Wikipedia,"{'Alaska': 17, 'Arkansas': 2, 'California': 3, 'Connecticut': 2, 'Delaware': 2, 'Florida': 11, 'Georgia': 1, 'Guam': 2, 'Illinois': 1, 'Indiana': 10, 'Kansas': 6, 'Kentucky': 10, 'Maine': 2, 'Maryland': 1, 'Massachusetts': 1, 'New Jersey': 170, 'New York': 88, 'North Carolina': 1, 'Oklahoma': 1, 'Pennsylvania': 8, 'Texas': 1, 'Washington': 38}",0,False
Farmers Field,ACK,Nantucket Memorial Airport - Wikipedia,"{'Massachusetts': 61, 'New Jersey': 1, 'New York': 18, 'North Carolina': 1, 'Washington': 15}",0,False
Kaiser's Strip,,Swan Island Municipal Airport - Wikipedia,"{'Idaho': 3, 'Illinois': 3, 'Oregon': 143, 'Utah': 3, 'Washington': 6}",0,True
Sun Private,LAS,McCarran International Airport - Wikipedia,"{'Alaska': 10, 'Arizona': 6, 'Arkansas': 2, 'California': 6, 'Colorado': 4, 'Georgia': 1, 'Hawaii': 8, 'Idaho': 3, 'Illinois': 1, 'Indiana': 12, 'Iowa': 3, 'Kansas': 6, 'Kentucky': 6, 'Minnesota': 1, 'Nebraska': 2, 'Nevada': 152, 'New Mexico': 1, 'New York': 9, 'Oklahoma': 2, 'Texas': 1, 'Utah': 1, 'Washington': 24}",0,False
Lake Goodwin,IAH,George Bush Intercontinental Airport - Wikipedia,"{'Alaska': 10, 'Arkansas': 3, 'California': 2, 'Colorado': 4, 'Florida': 9, 'Georgia': 1, 'Illinois': 1, 'Indiana': 6, 'Kansas': 9, 'Kentucky': 8, 'Louisiana': 5, 'Nevada': 1, 'New Jersey': 1, 'New York': 10, 'Oklahoma': 2, 'Texas': 103, 'Washington': 26}",0,False
Private field,LGA,LaGuardia Airport - Wikipedia,"{'Alaska': 5, 'Arkansas': 4, 'Colorado': 1, 'Florida': 15, 'Georgia': 1, 'Illinois': 1, 'Indiana': 6, 'Kansas': 6, 'Kentucky': 4, 'Massachusetts': 1, 'Michigan': 1, 'New Jersey': 36, 'New York': 164, 'North Carolina': 1, 'Oklahoma': 1, 'Texas': 4, 'Washington': 41}",0,False
Jensen Airfield,CVG,Cincinnati/Northern Kentucky International Airport - Wikipedia,"{'Alaska': 6, 'Arizona': 1, 'Colorado': 1, 'Florida': 8, 'Georgia': 1, 'Illinois': 3, 'Indiana': 2, 'Iowa': 2, 'Kansas': 6, 'Kentucky': 239, 'Minnesota': 1, 'Nevada': 1, 'New Jersey': 1, 'New York': 9, 'North Carolina': 1, 'Ohio': 18, 'Oregon': 2, 'Puerto Rico': 1, 'Tennessee': 3, 'Texas': 3, 'Washington': 17}",0,False
Jackson Lake,JAC,Jackson Hole Airport - Wikipedia,"{'Alaska': 12, 'California': 2, 'Colorado': 1, 'Georgia': 1, 'Illinois': 1, 'Massachusetts': 1, 'Minnesota': 1, 'New Jersey': 1, 'New York': 7, 'Texas': 3, 'Utah': 1, 'Washington': 2, 'Wyoming': 39}",1,False
Atmautulak,ATT,Atmautluak Airport - Wikipedia,{'Alaska': 37},0,True
Fresno - Yosemite Intl,FAT,Fresno Yosemite International Airport - Wikipedia,"{'Alaska': 20, 'Arizona': 1, 'California': 160, 'Colorado': 1, 'Georgia': 1, 'Nevada': 1, 'Oregon': 1, 'Texas': 1, 'Utah': 1, 'Washington': 1}",3,True
Unknown,LGB,Long Beach Airport - Wikipedia,"{'Alaska': 4, 'Arizona': 1, 'California': 130, 'Hawaii': 11, 'Nevada': 1, 'New York': 5, 'Texas': 3, 'Utah': 1, 'Washington': 1}",0,False
Beluga Lake,HOM,Homer Airport - Wikipedia,"{'Alaska': 33, 'Minnesota': 3}",0,True
R & D Farms,ATL,Hartsfield–Jackson Atlanta International Airport - Wikipedia,"{'Alabama': 2, 'Alaska': 9, 'Arkansas': 4, 'California': 1, 'Colorado': 7, 'Florida': 21, 'Georgia': 163, 'Idaho': 4, 'Illinois': 2, 'Indiana': 9, 'Iowa': 6, 'Kansas': 6, 'Kentucky': 6, 'Louisiana': 4, 'Maryland': 1, 'Massachusetts': 1, 'New York': 15, 'Oklahoma': 2, 'Texas': 3, 'Virginia': 1, 'Washington': 49}",0,False
TRADING BAY AIRPORT,SFO,San Francisco International Airport - Wikipedia,"{'Alaska': 34, 'Arkansas': 2, 'California': 111, 'Colorado': 1, 'Guam': 3, 'Hawaii': 17, 'Illinois': 1, 'Indiana': 3, 'Kansas': 6, 'Kentucky': 6, 'Massachusetts': 1, 'Nevada': 1, 'New Jersey': 1, 'New York': 13, 'Oklahoma': 1, 'Oregon': 4, 'Pennsylvania': 4, 'Washington': 33}",0,False
Port Alsworth,PTA,Port Alsworth Airport - Wikipedia,{'Alaska': 24},2,True
Off Airport,LHR,Heathrow Airport - Wikipedia,"{'Georgia': 1, 'New York': 8, 'Virginia': 3, 'Washington': 11}",0,False
Shaw Island Airport,BOS,Logan International Airport - Wikipedia,"{'Alaska': 12, 'California': 4, 'Connecticut': 13, 'Florida': 13, 'Georgia': 1, 'Hawaii': 5, 'Illinois': 1, 'Indiana': 12, 'Kansas': 3, 'Kentucky': 7, 'Maine': 7, 'Maryland': 1, 'Massachusetts': 187, 'New Hampshire': 8, 'New York': 18, 'North Carolina': 1, 'Pennsylvania': 1, 'Rhode Island': 5, 'Vermont': 12, 'Washington': 39}",0,False
Remote Landing Zone,SYD,Sydney Airport - Wikipedia,"{'Hawaii': 3, 'Kentucky': 2, 'New York': 2}",0,True
Umpqua Sky Park,RBG,Roseburg Regional Airport - Wikipedia,"{'Illinois': 3, 'Oregon': 76}",0,True
Farm field,CHA,Chattanooga Metropolitan Airport - Wikipedia,"{'California': 1, 'Florida': 2, 'Georgia': 3, 'Illinois': 1, 'Michigan': 1, 'New Jersey': 1, 'New York': 4, 'North Carolina': 1, 'Tennessee': 110, 'Texas': 1, 'Washington': 6}",0,False
Choctaw Field,TPA,Tampa International Airport - Wikipedia,"{'Alabama': 1, 'Alaska': 10, 'Colorado': 10, 'Florida': 142, 'Georgia': 10, 'Illinois': 10, 'Indiana': 14, 'Kansas': 8, 'Kentucky': 10, 'Maryland': 10, 'Massachusetts': 10, 'Michigan': 10, 'New Jersey': 3, 'New York': 17, 'North Carolina': 3, 'Pennsylvania': 10, 'Puerto Rico': 1, 'Texas': 10, 'Washington': 37}",0,True
Dry Bay,LAX,Los Angeles International Airport - Wikipedia,"{'Alabama': 1, 'Alaska': 35, 'Arizona': 3, 'Arkansas': 4, 'California': 170, 'Colorado': 4, 'Florida': 2, 'Georgia': 1, 'Hawaii': 9, 'Idaho': 3, 'Illinois': 1, 'Indiana': 15, 'Iowa': 3, 'Kansas': 9, 'Kentucky': 8, 'Maryland': 1, 'Nevada': 1, 'New Jersey': 1, 'New York': 10, 'North Carolina': 1, 'Ohio': 3, 'Oklahoma': 3, 'Pennsylvania': 2, 'Texas': 9, 'Utah': 1, 'Washington': 43}",0,False
NOT LISTED,SEA,Seattle–Tacoma International Airport - Wikipedia,"{'Alaska': 74, 'Arizona': 1, 'California': 3, 'Colorado': 1, 'Florida': 2, 'Hawaii': 7, 'Illinois': 2, 'Indiana': 9, 'Kansas': 6, 'Kentucky': 8, 'Mississippi': 1, 'Nevada': 1, 'New York': 10, 'Oklahoma': 1, 'Oregon': 12, 'Washington': 153}",0,False
Scott Field  (Private),JAN,Jackson–Medgar Wiley Evers International Airport - Wikipedia,"{'Colorado': 1, 'Florida': 2, 'Georgia': 1, 'Illinois': 1, 'Kentucky': 2, 'Louisiana': 4, 'Mississippi': 199, 'New York': 2, 'North Carolina': 1, 'Texas': 5, 'Washington': 13}",0,False
Donlin Creek Airstrip,UTO,Indian Mountain LRRS Airport - Wikipedia,{'Alaska': 58},0,True
PORT ALSWORTH,PTA,Port Alsworth Airport - Wikipedia,{'Alaska': 24},2,True
SHANNON'S AIRSTRIP,BOS,Logan International Airport - Wikipedia,"{'Alaska': 12, 'California': 4, 'Connecticut': 13, 'Florida': 13, 'Georgia': 1, 'Hawaii': 5, 'Illinois': 1, 'Indiana': 12, 'Kansas': 3, 'Kentucky': 7, 'Maine': 7, 'Maryland': 1, 'Massachusetts': 187, 'New Hampshire': 8, 'New York': 18, 'North Carolina': 1, 'Pennsylvania': 1, 'Rhode Island': 5, 'Vermont': 12, 'Washington': 39}",0,False
Air Jordan Airport,JFK,John F. Kennedy International Airport - Wikipedia,"{'Alabama': 1, 'Alaska': 16, 'Arizona': 3, 'California': 2, 'Florida': 7, 'Georgia': 1, 'Hawaii': 16, 'Indiana': 9, 'Kentucky': 8, 'Massachusetts': 11, 'Mississippi': 1, 'Nevada': 1, 'New Jersey': 56, 'New York': 264, 'Ohio': 1, 'Oregon': 2, 'Pennsylvania': 2, 'Puerto Rico': 1, 'Washington': 44, 'Wisconsin': 1}",0,False
THREE MILE LAKE,SLC,Salt Lake City International Airport - Wikipedia,"{'Alaska': 11, 'Arizona': 1, 'California': 3, 'Colorado': 4, 'Georgia': 1, 'Idaho': 12, 'Indiana': 6, 'Kansas': 12, 'Kentucky': 4, 'Nevada': 1, 'New York': 10, 'Oklahoma': 1, 'Oregon': 1, 'Texas': 1, 'Utah': 57, 'Washington': 21, 'Wyoming': 3}",1,False
MILLER CREEK,MKE,Milwaukee Mitchell International Airport - Wikipedia,"{'Alaska': 3, 'Arizona': 1, 'Colorado': 1, 'Florida': 7, 'Georgia': 1, 'Illinois': 9, 'Indiana': 3, 'Iowa': 2, 'Kansas': 3, 'Kentucky': 2, 'Michigan': 9, 'Minnesota': 1, 'Nevada': 1, 'New York': 4, 'North Carolina': 1, 'Oregon': 4, 'Texas': 1, 'Washington': 5, 'Wisconsin': 115}",0,False
Redder Airport,JFK,John F. Kennedy International Airport - Wikipedia,"{'Alabama': 1, 'Alaska': 16, 'Arizona': 3, 'California': 2, 'Florida': 7, 'Georgia': 1, 'Hawaii': 16, 'Indiana': 9, 'Kentucky': 8, 'Massachusetts': 11, 'Mississippi': 1, 'Nevada': 1, 'New Jersey': 56, 'New York': 264, 'Ohio': 1, 'Oregon': 2, 'Pennsylvania': 2, 'Puerto Rico': 1, 'Washington': 44, 'Wisconsin': 1}",0,False
PRIVATE AG STRIP,LAX,Los Angeles International Airport - Wikipedia,"{'Alabama': 1, 'Alaska': 35, 'Arizona': 3, 'Arkansas': 4, 'California': 170, 'Colorado': 4, 'Florida': 2, 'Georgia': 1, 'Hawaii': 9, 'Idaho': 3, 'Illinois': 1, 'Indiana': 15, 'Iowa': 3, 'Kansas': 9, 'Kentucky': 8, 'Maryland': 1, 'Nevada': 1, 'New Jersey': 1, 'New York': 10, 'North Carolina': 1, 'Ohio': 3, 'Oklahoma': 3, 'Pennsylvania': 2, 'Texas': 9, 'Utah': 1, 'Washington': 43}",0,False
PIERCE AGRICULTURAL FIELD,SEA,Seattle–Tacoma International Airport - Wikipedia,"{'Alaska': 74, 'Arizona': 1, 'California': 3, 'Colorado': 1, 'Florida': 2, 'Hawaii': 7, 'Illinois': 2, 'Indiana': 9, 'Kansas': 6, 'Kentucky': 8, 'Mississippi': 1, 'Nevada': 1, 'New York': 10, 'Oklahoma': 1, 'Oregon': 12, 'Washington': 153}",0,False
BRADLEY SKY RANCH,IAH,George Bush Intercontinental Airport - Wikipedia,"{'Alaska': 10, 'Arkansas': 3, 'California': 2, 'Colorado': 4, 'Florida': 9, 'Georgia': 1, 'Illinois': 1, 'Indiana': 6, 'Kansas': 9, 'Kentucky': 8, 'Louisiana': 5, 'Nevada': 1, 'New Jersey': 1, 'New York': 10, 'Oklahoma': 2, 'Texas': 103, 'Washington': 26}",0,False
JENSEN AIRFIELD,CVG,Cincinnati/Northern Kentucky International Airport - Wikipedia,"{'Alaska': 6, 'Arizona': 1, 'Colorado': 1, 'Florida': 8, 'Georgia': 1, 'Illinois': 3, 'Indiana': 2, 'Iowa': 2, 'Kansas': 6, 'Kentucky': 239, 'Minnesota': 1, 'Nevada': 1, 'New Jersey': 1, 'New York': 9, 'North Carolina': 1, 'Ohio': 18, 'Oregon': 2, 'Puerto Rico': 1, 'Tennessee': 3, 'Texas': 3, 'Washington': 17}",0,False
OPEN PASTURE AREA,SFO,San Francisco International Airport - Wikipedia,"{'Alaska': 34, 'Arkansas': 2, 'California': 111, 'Colorado': 1, 'Guam': 3, 'Hawaii': 17, 'Illinois': 1, 'Indiana': 3, 'Kansas': 6, 'Kentucky': 6, 'Massachusetts': 1, 'Nevada': 1, 'New Jersey': 1, 'New York': 13, 'Oklahoma': 1, 'Oregon': 4, 'Pennsylvania': 4, 'Washington': 33}",0,True
SWIFT PRIVATE AIRSTRIP,SJU,Luis Muñoz Marín International Airport - Wikipedia,"{'Florida': 43, 'Georgia': 10, 'Hawaii': 3, 'Kentucky': 4, 'Maryland': 10, 'Massachusetts': 10, 'New Jersey': 3, 'New York': 9, 'Pennsylvania': 10, 'Puerto Rico': 225, 'Virgin Islands': 5, 'Washington': 14}",0,False
THOMPSON STRIP,SNA,John Wayne Airport - Wikipedia,"{'Alaska': 25, 'Arizona': 9, 'California': 168, 'Colorado': 7, 'Illinois': 7, 'Nevada': 7, 'New York': 3, 'Texas': 8, 'Washington': 7}",0,True
STEPHENS AIRFIELD,GSO,Piedmont Triad International Airport - Wikipedia,"{'Alabama': 1, 'Florida': 1, 'Georgia': 1, 'Illinois': 1, 'Indiana': 6, 'Kentucky': 2, 'Michigan': 1, 'New Jersey': 1, 'New York': 9, 'North Carolina': 87, 'Pennsylvania': 1, 'Texas': 1, 'Virginia': 6, 'Washington': 20}",0,False
PILOTS PASTURE,SBA,Santa Barbara Municipal Airport - Wikipedia,"{'Alaska': 21, 'Arizona': 1, 'California': 52, 'Colorado': 1, 'New York': 1, 'Oregon': 1, 'Texas': 1, 'Utah': 1, 'Washington': 1, 'Wisconsin': 3}",0,False
EAGLE,EAA,Eagle Airport - Wikipedia,"{'Alaska': 41, 'Colorado': 1}",1,True
GARRISON FIELD,BNA,Nashville International Airport - Wikipedia,"{'Alabama': 2, 'Alaska': 7, 'Arkansas': 2, 'California': 1, 'Colorado': 1, 'Florida': 7, 'Georgia': 1, 'Illinois': 3, 'Indiana': 6, 'Iowa': 3, 'Kansas': 3, 'Kentucky': 2, 'Massachusetts': 1, 'Michigan': 1, 'New York': 10, 'North Carolina': 1, 'Oklahoma': 1, 'Tennessee': 150, 'Texas': 2, 'Washington': 12}",0,False
STUART WEST,LAX,Los Angeles International Airport - Wikipedia,"{'Alabama': 1, 'Alaska': 35, 'Arizona': 3, 'Arkansas': 4, 'California': 170, 'Colorado': 4, 'Florida': 2, 'Georgia': 1, 'Hawaii': 9, 'Idaho': 3, 'Illinois': 1, 'Indiana': 15, 'Iowa': 3, 'Kansas': 9, 'Kentucky': 8, 'Maryland': 1, 'Nevada': 1, 'New Jersey': 1, 'New York': 10, 'North Carolina': 1, 'Ohio': 3, 'Oklahoma': 3, 'Pennsylvania': 2, 'Texas': 9, 'Utah': 1, 'Washington': 43}",0,False
SHANNON'S POND,DLG,Dillingham Airport - Wikipedia,"{'Alaska': 135, 'Hawaii': 1}",0,True
FLAGSTAFF PULLIAM,FLG,Flagstaff Pulliam Airport - Wikipedia,"{'Alaska': 6, 'Arizona': 37, 'Colorado': 2, 'New Mexico': 4, 'Texas': 1, 'Utah': 1}",2,True
PRIVATE CROP DUSTER STRIP,FUL,Fullerton Municipal Airport - Wikipedia,"{'Arizona': 1, 'California': 62, 'Nevada': 1, 'Utah': 1}",0,True
DIRT ROAD (OFF AIRPORT),ATL,Hartsfield–Jackson Atlanta International Airport - Wikipedia,"{'Alabama': 2, 'Alaska': 9, 'Arkansas': 4, 'California': 1, 'Colorado': 7, 'Florida': 21, 'Georgia': 163, 'Idaho': 4, 'Illinois': 2, 'Indiana': 9, 'Iowa': 6, 'Kansas': 6, 'Kentucky': 6, 'Louisiana': 4, 'Maryland': 1, 'Massachusetts': 1, 'New York': 15, 'Oklahoma': 2, 'Texas': 3, 'Virginia': 1, 'Washington': 49}",0,False
CRANE ISLAND (PRIVATE),YTZ,Billy Bishop Toronto City Airport - Wikipedia,"{'New Jersey': 2, 'Washington': 3}",0,True
HALLER AIRPORT,LAX,Los Angeles International Airport - Wikipedia,"{'Alabama': 1, 'Alaska': 35, 'Arizona': 3, 'Arkansas': 4, 'California': 170, 'Colorado': 4, 'Florida': 2, 'Georgia': 1, 'Hawaii': 9, 'Idaho': 3, 'Illinois': 1, 'Indiana': 15, 'Iowa': 3, 'Kansas': 9, 'Kentucky': 8, 'Maryland': 1, 'Nevada': 1, 'New Jersey': 1, 'New York': 10, 'North Carolina': 1, 'Ohio': 3, 'Oklahoma': 3, 'Pennsylvania': 2, 'Texas': 9, 'Utah': 1, 'Washington': 43}",0,False
RINEAR (PRIVATE),SJU,Luis Muñoz Marín International Airport - Wikipedia,"{'Florida': 43, 'Georgia': 10, 'Hawaii': 3, 'Kentucky': 4, 'Maryland': 10, 'Massachusetts': 10, 'New Jersey': 3, 'New York': 9, 'Pennsylvania': 10, 'Puerto Rico': 225, 'Virgin Islands': 5, 'Washington': 14}",0,False
NORTHEAST PHILADELPHIA,PNE,Northeast Philadelphia Airport - Wikipedia,"{'Delaware': 5, 'Kentucky': 2, 'New Jersey': 1, 'Pennsylvania': 44, 'Washington': 1}",2,True
LAFAYETTE LANDINGS,LFT,Lafayette Regional Airport - Wikipedia,"{'Florida': 3, 'Georgia': 1, 'Louisiana': 48, 'New York': 1, 'Texas': 28, 'Washington': 1}",1,False
NORTH FORK AIRPORT,MSP,Minneapolis–Saint Paul International Airport - Wikipedia,"{'Alaska': 11, 'Arizona': 1, 'Arkansas': 2, 'California': 2, 'Colorado': 1, 'Florida': 11, 'Georgia': 1, 'Idaho': 4, 'Illinois': 1, 'Indiana': 9, 'Iowa': 9, 'Kansas': 9, 'Kentucky': 10, 'Minnesota': 142, 'Mississippi': 6, 'Nebraska': 3, 'Nevada': 1, 'New York': 5, 'North Dakota': 2, 'Oklahoma': 1, 'South Dakota': 2, 'Texas': 1, 'Washington': 42, 'Wisconsin': 5}",0,False
TAYLOR MOUNTAIN STRIP,PUW,Pullman–Moscow Regional Airport - Wikipedia,"{'Alaska': 11, 'Idaho': 22, 'Washington': 74}",0,False
